Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Local matrix size       = 2.96092 GiBs
Total device memory use = 3.5162 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1.1% | 000000640 |    0.0463444  |          | 5.694e+04| 5.781e+04|            |            |  3.443e-02 | 5.647e-03 |   5.466e-03  |  8.465e+04  |    4.952e+04   
  2.3% | 000001280 |    0.0473771  | 4.379e+04| 5.734e+04| 5.711e+04|  2.907e-02 |  7.383e-03 |  1.951e-03 | 1.351e-02 |   3.171e-05  |  8.090e+04  |    6.126e+04   
  3.4% | 000001920 |    0.0453606  |          | 5.740e+04| 5.734e+04|            |            |  3.204e-02 | 1.286e-02 |   2.567e-05  |  8.253e+04  |    6.686e+04   
  4.6% | 000002560 |    0.0417066  | 4.574e+04| 5.691e+04| 5.795e+04|  2.882e-02 |  5.795e-03 |  1.976e-03 | 3.339e-03 |   5.229e-03  |  8.765e+04  |    7.091e+04   
  5.7% | 000003200 |    0.0420230  |          | 5.642e+04| 5.726e+04|            |            |  3.269e-02 | 3.725e-03 |   5.127e-03  |  8.492e+04  |    7.321e+04   
  6.9% | 000003840 |    0.0400083  | 4.337e+04| 5.620e+04| 5.769e+04|  2.786e-02 |  6.714e-03 |  1.852e-03 | 3.082e-03 |   4.842e-03  |  8.704e+04  |    7.508e+04   
  8.0% | 000004480 |    0.0398088  |          | 5.650e+04| 5.731e+04|            |            |  3.113e-02 | 3.451e-03 |   4.827e-03  |  8.535e+04  |    7.629e+04   
  9.2% | 000005120 |    0.0390801  | 4.337e+04| 5.590e+04| 5.833e+04|  2.722e-02 |  5.288e-03 |  1.855e-03 | 3.053e-03 |   4.606e-03  |  8.479e+04  |    7.718e+04   
 10.3% | 000005760 |    0.0398210  |          | 5.646e+04| 5.754e+04|            |            |  3.143e-02 | 3.456e-03 |   4.482e-03  |  8.113e+04  |    7.755e+04   
 11.5% | 000006400 |    0.0378970  | 4.170e+04| 5.590e+04| 5.771e+04|  2.658e-02 |  6.597e-03 |  1.769e-03 | 3.014e-03 |   4.204e-03  |  8.309e+04  |    7.801e+04   
 12.6% | 000007040 |    0.0380104  |          | 5.670e+04| 5.669e+04|            |            |  3.001e-02 | 3.264e-03 |   4.297e-03  |  8.072e+04  |    7.822e+04   
 13.8% | 000007680 |    0.0378126  | 4.167e+04| 5.656e+04| 5.835e+04|  2.671e-02 |  5.791e-03 |  1.761e-03 | 2.841e-03 |   4.085e-03  |  7.904e+04  |    7.828e+04   
 14.9% | 000008320 |    0.0378799  |          | 5.618e+04| 5.715e+04|            |            |  3.026e-02 | 3.128e-03 |   4.012e-03  |  7.682e+04  |    7.818e+04   
 16.1% | 000008960 |    0.0366700  | 4.071e+04| 5.574e+04| 5.651e+04|  2.597e-02 |  6.216e-03 |  1.662e-03 | 2.998e-03 |   3.670e-03  |  7.724e+04  |    7.812e+04   
 17.2% | 000009600 |    0.0367822  |          | 5.584e+04| 5.691e+04|            |            |  2.959e-02 | 3.072e-03 |   3.670e-03  |  7.492e+04  |    7.793e+04   
 18.4% | 000010240 |    0.0367887  | 4.081e+04| 5.578e+04| 5.794e+04|  2.656e-02 |  5.859e-03 |  1.666e-03 | 2.875e-03 |   3.169e-03  |  7.286e+04  |    7.766e+04   
 19.5% | 000010880 |    0.0368388  |          | 5.558e+04| 5.730e+04|            |            |  3.011e-02 | 2.984e-03 |   3.304e-03  |  7.074e+04  |    7.730e+04   
 20.7% | 000011520 |    0.0356153  | 3.817e+04| 5.560e+04| 5.618e+04|  2.581e-02 |  5.975e-03 |  1.580e-03 | 2.787e-03 |   3.075e-03  |  7.111e+04  |    7.700e+04   
 21.8% | 000012160 |    0.0357582  |          | 5.579e+04| 5.668e+04|            |            |  2.928e-02 | 2.991e-03 |   3.060e-03  |  6.880e+04  |    7.663e+04   
 23.0% | 000012800 |    0.0357669  | 3.794e+04| 5.569e+04| 5.792e+04|  2.631e-02 |  5.676e-03 |  1.575e-03 | 2.612e-03 |   2.917e-03  |  6.679e+04  |    7.620e+04   
 24.1% | 000013440 |    0.0359423  |          | 5.551e+04| 5.681e+04|            |            |  2.984e-02 | 2.790e-03 |   2.861e-03  |  6.451e+04  |    7.571e+04   
 25.3% | 000014080 |    0.0345991  | 3.736e+04| 5.544e+04| 5.711e+04|  2.568e-02 |  6.128e-03 |  1.486e-03 | 2.676e-03 |   2.520e-03  |  6.501e+04  |    7.529e+04   
 26.4% | 000014720 |    0.0348265  |          | 5.541e+04| 5.692e+04|            |            |  2.909e-02 | 2.707e-03 |   2.600e-03  |  6.263e+04  |    7.481e+04   
 27.6% | 000015360 |    0.0351773  | 3.571e+04| 5.540e+04| 5.736e+04|  2.641e-02 |  5.802e-03 |  1.484e-03 | 2.478e-03 |   2.456e-03  |  6.010e+04  |    7.427e+04   
 28.7% | 000016000 |    0.0350493  |          | 5.516e+04| 5.572e+04|            |            |  2.951e-02 | 2.722e-03 |   2.349e-03  |  5.843e+04  |    7.371e+04   
 29.9% | 000016640 |    0.0337823  | 3.518e+04| 5.503e+04| 5.773e+04|  2.561e-02 |  5.902e-03 |  1.397e-03 | 2.407e-03 |   2.128e-03  |  5.870e+04  |    7.322e+04   
 31.0% | 000017280 |    0.0339886  |          | 5.522e+04| 5.694e+04|            |            |  2.889e-02 | 2.554e-03 |   2.121e-03  |  5.646e+04  |    7.268e+04   
 32.2% | 000017920 |    0.0343348  | 3.495e+04| 5.468e+04| 5.715e+04|  2.631e-02 |  5.667e-03 |  1.403e-03 | 2.343e-03 |   2.027e-03  |  5.406e+04  |    7.210e+04   
 33.3% | 000018560 |    0.0342709  |          | 5.828e+04| 5.624e+04|            |            |  2.931e-02 | 2.604e-03 |   1.903e-03  |  5.236e+04  |    7.150e+04   
 34.5% | 000019200 |    0.0331149  | 3.310e+04| 5.813e+04| 5.576e+04|  2.553e-02 |  5.807e-03 |  1.310e-03 | 2.323e-03 |   1.666e-03  |  5.235e+04  |    7.096e+04   
 35.6% | 000019840 |    0.0333035  |          | 5.812e+04| 5.571e+04|            |            |  2.873e-02 | 2.378e-03 |   1.771e-03  |  5.026e+04  |    7.038e+04   
 36.8% | 000020480 |    0.0335281  | 3.276e+04| 5.801e+04| 5.510e+04|  2.625e-02 |  5.702e-03 |  1.314e-03 | 2.113e-03 |   1.588e-03  |  4.817e+04  |    6.978e+04   
 37.9% | 000021120 |    0.0337661  |          | 5.774e+04| 5.816e+04|            |            |  2.933e-02 | 2.694e-03 |   1.296e-03  |  4.612e+04  |    6.915e+04   
 39.1% | 000021760 |    0.0324371  | 3.053e+04| 5.807e+04| 5.801e+04|  2.551e-02 |  5.898e-03 |  1.217e-03 | 2.241e-03 |   1.306e-03  |  4.626e+04  |    6.857e+04   
 40.2% | 000022400 |    0.0324961  |          | 5.801e+04| 5.785e+04|            |            |  2.856e-02 | 2.188e-03 |   1.307e-03  |  4.447e+04  |    6.798e+04   
 41.4% | 000023040 |    0.0328615  | 3.066e+04| 5.778e+04| 5.395e+04|  2.619e-02 |  5.748e-03 |  1.227e-03 | 1.941e-03 |   1.246e-03  |  4.232e+04  |    6.737e+04   
 42.5% | 000023680 |    0.0329339  |          | 5.423e+04| 5.449e+04|            |            |  2.903e-02 | 2.284e-03 |   1.172e-03  |  4.060e+04  |    6.673e+04   
 43.7% | 000024320 |    0.0317338  | 4.314e+04| 5.453e+04| 5.606e+04|  2.546e-02 |  5.880e-03 |  1.144e-03 | 1.932e-03 |   8.212e-04  |  4.048e+04  |    6.615e+04   
 44.8% | 000024960 |    0.0318073  |          | 5.445e+04| 5.606e+04|            |            |  2.823e-02 | 2.069e-03 |   1.057e-03  |  3.877e+04  |    6.555e+04   
 46.0% | 000025600 |    0.0321482  | 4.323e+04| 5.440e+04| 5.585e+04|  2.621e-02 |  5.735e-03 |  1.145e-03 | 1.801e-03 |   7.115e-04  |  3.680e+04  |    6.493e+04   
 47.1% | 000026240 |    0.0322843  |          | 5.399e+04| 5.289e+04|            |            |  2.894e-02 | 1.998e-03 |   8.819e-04  |  3.512e+04  |    6.430e+04   
 48.3% | 000026880 |    0.0310981  | 4.122e+04| 5.383e+04| 5.280e+04|  2.545e-02 |  5.994e-03 |  1.054e-03 | 1.849e-03 |   5.955e-04  |  3.490e+04  |    6.371e+04   
 49.4% | 000027520 |    0.0312034  |          | 5.375e+04| 5.276e+04|            |            |  2.814e-02 | 1.909e-03 |   7.286e-04  |  3.327e+04  |    6.311e+04   
 50.6% | 000028160 |    0.0315473  | 4.103e+04| 5.388e+04| 5.290e+04|  2.605e-02 |  5.636e-03 |  1.051e-03 | 1.606e-03 |   5.278e-04  |  3.145e+04  |    6.250e+04   
 51.7% | 000028800 |    0.0315881  |          | 5.542e+04| 5.418e+04|            |            |  2.857e-02 | 1.960e-03 |   6.096e-04  |  2.998e+04  |    6.187e+04   
 52.9% | 000029440 |    0.0304856  | 4.094e+04| 5.518e+04| 5.464e+04|  2.540e-02 |  6.106e-03 |  9.690e-04 | 1.737e-03 |   1.126e-04  |  2.962e+04  |    6.129e+04   
 54.0% | 000030080 |    0.0305558  |          | 5.509e+04| 5.479e+04|            |            |  2.800e-02 | 1.764e-03 |   3.823e-04  |  2.814e+04  |    6.070e+04   
 55.2% | 000030720 |    0.0307565  | 4.208e+04| 5.559e+04| 5.552e+04|  2.591e-02 |  5.666e-03 |  9.736e-04 | 1.531e-03 |   7.839e-05  |  2.660e+04  |    6.009e+04   
 56.3% | 000031360 |    0.0308496  |          | 5.483e+04| 5.094e+04|            |            |  2.837e-02 | 1.719e-03 |   2.840e-04  |  2.519e+04  |    5.949e+04   
 57.5% | 000032000 |    0.0299000  | 3.743e+04| 5.482e+04| 5.224e+04|  2.515e-02 |  5.923e-03 |  8.774e-04 | 1.583e-03 |   1.713e-05  |  2.466e+04  |    5.891e+04   
 58.6% | 000032640 |    0.0297186  |          | 5.460e+04| 5.210e+04|            |            |  2.759e-02 | 1.621e-03 |   9.714e-05  |  2.350e+04  |    5.833e+04   
 59.8% | 000033280 |    0.0301693  | 3.882e+04| 5.433e+04| 5.360e+04|  2.578e-02 |  5.638e-03 |  8.843e-04 | 1.361e-03 |   1.718e-05  |  2.190e+04  |    5.774e+04   
 60.9% | 000033920 |    0.0302253  |          | 5.497e+04| 4.852e+04|            |            |  2.811e-02 | 1.627e-03 |   1.692e-05  |  2.065e+04  |    5.715e+04   
 62.1% | 000034560 |    0.0295719  | 3.463e+04| 5.505e+04| 5.001e+04|  2.511e-02 |  5.934e-03 |  7.986e-04 | 1.378e-03 |   2.392e-05  |  1.990e+04  |    5.658e+04   
 63.2% | 000035200 |    0.0293173  |          | 5.520e+04| 5.085e+04|            |            |  2.741e-02 | 1.456e-03 |   2.187e-05  |  1.889e+04  |    5.601e+04   
 64.4% | 000035840 |    0.0305937  | 3.403e+04| 5.520e+04| 3.695e+04|  2.610e-02 |  5.884e-03 |  7.985e-04 | 1.330e-03 |   2.365e-05  |  1.701e+04  |    5.541e+04   
 65.5% | 000036480 |    0.0299287  |          | 5.410e+04| 3.277e+04|            |            |  2.792e-02 | 1.519e-03 |   2.360e-05  |  1.630e+04  |    5.483e+04   
 66.7% | 000037120 |    0.0295001  | 3.216e+04| 5.430e+04| 3.237e+04|  2.532e-02 |  6.015e-03 |  7.048e-04 | 1.321e-03 |   2.345e-05  |  1.547e+04  |    5.426e+04   
 67.8% | 000037760 |    0.0290273  |          | 5.436e+04| 3.237e+04|            |            |  2.721e-02 | 1.356e-03 |   2.403e-05  |  1.467e+04  |    5.370e+04   
 69.0% | 000038400 |    0.0298297  | 3.240e+04| 5.425e+04|          |  2.603e-02 |  5.803e-03 |  7.083e-04 | 1.001e-03 |   1.994e-04  |  1.329e+04  |    5.313e+04   
 70.1% | 000039040 |    0.0297678  |          | 5.365e+04|          |            |            |  2.805e-02 | 1.363e-03 |   6.537e-05  |  1.237e+04  |    5.256e+04   
 71.3% | 000039680 |    0.0288590  | 3.829e+04| 5.500e+04|          |  2.511e-02 |  5.951e-03 |  6.286e-04 | 1.106e-03 |   6.340e-05  |  1.181e+04  |    5.202e+04   
