Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Local matrix size       = 184.844 GiBs
Total device memory use = 189.112 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
  3.9% | 000017280 |    0.5184075  |          | 5.909e+04| 5.887e+04|            |            |  4.086e-02 | 5.313e-02 |   4.240e-01  |  4.533e+05  |    4.373e+05   
  4.0% | 000017920 |    0.5554224  | 5.663e+04| 5.907e+04| 5.890e+04|  4.963e-02 |  7.234e-03 |  1.606e-02 | 2.843e-02 |   4.574e-01  |  4.218e+05  |    4.368e+05   
  4.2% | 000018560 |    0.5119636  |          | 5.909e+04| 5.889e+04|            |            |  3.647e-02 | 4.614e-02 |   4.289e-01  |  4.563e+05  |    4.374e+05   
  4.3% | 000019200 |    0.5500036  | 5.635e+04| 5.906e+04| 5.888e+04|  4.953e-02 |  1.301e-02 |  1.581e-02 | 3.072e-02 |   4.500e-01  |  4.235e+05  |    4.369e+05   
  4.5% | 000019840 |    0.5134446  |          | 5.910e+04| 5.892e+04|            |            |  4.097e-02 | 5.438e-02 |   4.176e-01  |  4.522e+05  |    4.374e+05   
  4.6% | 000020480 |    0.5498178  | 5.636e+04| 5.894e+04| 5.892e+04|  5.005e-02 |  7.019e-03 |  1.567e-02 | 2.987e-02 |   4.503e-01  |  4.211e+05  |    4.369e+05   
  4.7% | 000021120 |    0.5056109  |          | 5.911e+04| 5.893e+04|            |            |  3.615e-02 | 4.602e-02 |   4.229e-01  |  4.565e+05  |    4.374e+05   
  4.9% | 000021760 |    0.5440746  | 5.607e+04| 5.904e+04| 5.892e+04|  4.984e-02 |  1.305e-02 |  1.572e-02 | 2.918e-02 |   4.454e-01  |  4.229e+05  |    4.370e+05   
  5.0% | 000022400 |    0.5074493  |          | 5.912e+04| 5.894e+04|            |            |  4.130e-02 | 5.395e-02 |   4.117e-01  |  4.521e+05  |    4.374e+05   
  5.2% | 000023040 |    0.5435553  | 5.599e+04| 5.903e+04| 5.896e+04|  5.013e-02 |  6.824e-03 |  1.593e-02 | 2.790e-02 |   4.457e-01  |  4.208e+05  |    4.370e+05   
  5.3% | 000023680 |    0.4991695  |          | 5.920e+04| 5.897e+04|            |            |  3.718e-02 | 4.552e-02 |   4.159e-01  |  4.568e+05  |    4.374e+05   
  5.5% | 000024320 |    0.5376934  | 5.570e+04| 5.912e+04| 5.894e+04|  4.959e-02 |  1.291e-02 |  1.593e-02 | 2.815e-02 |   4.401e-01  |  4.228e+05  |    4.371e+05   
  5.6% | 000024960 |    0.5005101  |          | 5.919e+04| 5.897e+04|            |            |  4.266e-02 | 5.383e-02 |   4.035e-01  |  4.528e+05  |    4.374e+05   
  5.7% | 000025600 |    0.5377481  | 5.587e+04| 5.912e+04| 5.895e+04|  5.007e-02 |  6.933e-03 |  1.586e-02 | 2.764e-02 |   4.402e-01  |  4.202e+05  |    4.370e+05   
  5.9% | 000026240 |    0.4923849  |          | 5.917e+04| 5.900e+04|            |            |  3.837e-02 | 4.399e-02 |   4.095e-01  |  4.575e+05  |    4.375e+05   
  6.0% | 000026880 |    0.5315880  | 5.575e+04| 5.913e+04| 5.898e+04|  4.947e-02 |  1.284e-02 |  1.576e-02 | 2.834e-02 |   4.341e-01  |  4.225e+05  |    4.371e+05   
  6.2% | 000027520 |    0.4975563  |          | 5.920e+04| 5.896e+04|            |            |  4.414e-02 | 5.858e-02 |   3.943e-01  |  4.500e+05  |    4.374e+05   
  6.3% | 000028160 |    0.5306840  | 5.570e+04| 5.916e+04| 5.905e+04|  4.951e-02 |  6.306e-03 |  1.575e-02 | 2.740e-02 |   4.341e-01  |  4.206e+05  |    4.370e+05   
  6.5% | 000028800 |    0.4897288  |          | 5.923e+04| 5.903e+04|            |            |  3.896e-02 | 4.951e-02 |   4.007e-01  |  4.544e+05  |    4.374e+05   
