Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.6% | 000000640 |    0.0812552  |          | 5.843e+04| 5.796e+04|            |            |  4.099e-02 | 1.671e-02 |   2.277e-02  |  1.942e+05  |    1.305e+05   
  1.1% | 000001280 |    0.0713145  | 4.582e+04| 5.885e+04| 5.756e+04|  3.326e-02 |  8.329e-03 |  3.898e-03 | 1.805e-02 |   1.303e-02  |  2.188e+05  |    1.632e+05   
  1.7% | 000001920 |    0.0725099  |          | 5.914e+04| 5.804e+04|            |            |  4.031e-02 | 1.887e-02 |   1.289e-02  |  2.127e+05  |    1.768e+05   
  2.3% | 000002560 |    0.0708823  | 4.856e+04| 5.897e+04| 5.747e+04|  3.326e-02 |  5.127e-03 |  3.884e-03 | 6.949e-03 |   2.419e-02  |  2.150e+05  |    1.848e+05   
  2.9% | 000003200 |    0.0669391  |          | 5.873e+04| 5.790e+04|            |            |  3.806e-02 | 6.672e-03 |   2.174e-02  |  2.250e+05  |    1.915e+05   
  3.4% | 000003840 |    0.0690909  | 4.358e+04| 5.889e+04| 5.768e+04|  3.306e-02 |  8.385e-03 |  3.822e-03 | 7.291e-03 |   2.225e-02  |  2.155e+05  |    1.950e+05   
  4.0% | 000004480 |    0.0650188  |          | 5.918e+04| 5.813e+04|            |            |  3.715e-02 | 6.334e-03 |   2.109e-02  |  2.262e+05  |    1.988e+05   
  4.6% | 000005120 |    0.0684344  | 4.676e+04| 5.895e+04| 5.824e+04|  3.281e-02 |  4.987e-03 |  3.778e-03 | 6.811e-03 |   2.240e-02  |  2.124e+05  |    2.003e+05   
  5.2% | 000005760 |    0.0652202  |          | 5.907e+04| 5.803e+04|            |            |  3.782e-02 | 6.515e-03 |   2.044e-02  |  2.202e+05  |    2.022e+05   
