Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743938305,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938306,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938307,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938308,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938310,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938311,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938312,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938313,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938314,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938315,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938316,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938318,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938319,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938320,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938321,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938322,2796079662,336731801,337080586,336004422,336556814,336415892,336089499,335974899
1743938323,2796082799,336734939,337083723,336007559,336559952,336419031,336092638,335978037
1743938325,2796085001,336737148,337085954,336009787,336562188,336421274,336094886,335980295
1743938326,2796090516,336742668,337091467,336015298,336567702,336426789,336100400,335985807
1743938327,2796096033,336748185,337096984,336020814,336573221,336432307,336105920,335991324
1743938328,2796101539,336753692,337102491,336026320,336578730,336437816,336111429,335996831
1743938329,2796107052,336759202,337108005,336031834,336584246,336443332,336116945,336002345
1743938330,2796112492,336764642,337113445,336037271,336589684,336448773,336122391,336007789
1743938331,2796117991,336770148,337118951,336042776,336595194,336454280,336127895,336013295
1743938333,2796124232,336776389,337125188,336049012,336601434,336460519,336134133,336019528
1743938334,2796129739,336781892,337130695,336054519,336606944,336466028,336139643,336025035
1743938335,2796135197,336787352,337136158,336059981,336612408,336471496,336145114,336030502
1743938336,2796140726,336792886,337141684,336065506,336617936,336477021,336150636,336036022
1743938337,2796146238,336798394,337147196,336071018,336623451,336482535,336156150,336041534
1743938338,2796151742,336803904,337152702,336076522,336628958,336488042,336161657,336047038
1743938339,2796157245,336809405,337158209,336082027,336634466,336493550,336167166,336052547
1743938341,2796163716,336815880,337164677,336088500,336640941,336500025,336173640,336059019
1743938342,2796169236,336821397,337170199,336094017,336646461,336505545,336179159,336064537
1743938343,2796174750,336826911,337175713,336099530,336651977,336511061,336184676,336070052
1743938344,2796180266,336832433,337181230,336105046,336657496,336516580,336190195,336075572
1743938345,2796185741,336837908,337186703,336110521,336662974,336522057,336195675,336081046
1743938346,2796191212,336843378,337192175,336115991,336668447,336527534,336201150,336086519
1743938347,2796196708,336848875,337197672,336121488,336673946,336533030,336206646,336092017
1743938349,2796203253,336855420,337204217,336128032,336680494,336539577,336213192,336098558
1743938350,2796208787,336860960,337209756,336133571,336686036,336545118,336218737,336104101
1743938351,2796214244,336866418,337215210,336139022,336691491,336550573,336224188,336109551
1743938352,2796219763,336871938,337220730,336144540,336697013,336556095,336229710,336115071
1743938353,2796225279,336877450,337226247,336150056,336702531,336561614,336235229,336120588
1743938354,2796230788,336882960,337231756,336155565,336708048,336567130,336240746,336126102
1743938355,2796236250,336888424,337237220,336161035,336713513,336572595,336246208,336131570
1743938357,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938358,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938359,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938360,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938361,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938362,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938363,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938365,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938366,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938367,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938368,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938369,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938370,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
1743938372,2796240648,336892816,337241601,336165404,336717877,336576954,336250560,336135908
