Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Local matrix size       = 2.96092 GiBs
Total device memory use = 3.5162 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 31.0% | 000017280 |    0.0249091  |          | 6.506e+04| 6.415e+04|            |            |  2.037e-02 | 2.569e-03 |   1.541e-03  |  7.704e+04  |    9.518e+04   
 32.2% | 000017920 |    0.0260157  | 4.507e+04| 5.941e+04| 6.460e+04|  1.866e-02 |  5.982e-03 |  1.430e-03 | 2.319e-03 |   1.520e-03  |  7.135e+04  |    9.444e+04   
 33.3% | 000018560 |    0.0250778  |          | 6.971e+04| 6.178e+04|            |            |  2.062e-02 | 2.635e-03 |   1.323e-03  |  7.155e+04  |    9.377e+04   
 34.5% | 000019200 |    0.0260007  | 4.392e+04| 6.196e+04| 6.183e+04|  1.913e-02 |  7.282e-03 |  1.331e-03 | 2.360e-03 |   1.190e-03  |  6.667e+04  |    9.298e+04   
 35.6% | 000019840 |    0.0243893  |          | 6.894e+04| 5.888e+04|            |            |  2.020e-02 | 2.400e-03 |   1.334e-03  |  6.862e+04  |    9.233e+04   
 36.8% | 000020480 |    0.0253252  | 4.334e+04| 6.179e+04| 6.409e+04|  1.869e-02 |  6.148e-03 |  1.335e-03 | 2.116e-03 |   1.109e-03  |  6.377e+04  |    9.155e+04   
 37.9% | 000021120 |    0.0243337  |          | 6.873e+04| 6.160e+04|            |            |  2.036e-02 | 2.676e-03 |   8.416e-04  |  6.400e+04  |    9.086e+04   
 39.1% | 000021760 |    0.0253940  | 4.152e+04| 6.189e+04| 6.584e+04|  1.914e-02 |  7.355e-03 |  1.238e-03 | 2.216e-03 |   9.145e-04  |  5.910e+04  |    9.004e+04   
 40.2% | 000022400 |    0.0235706  |          | 7.131e+04| 6.168e+04|            |            |  2.008e-02 | 2.158e-03 |   8.653e-04  |  6.131e+04  |    8.937e+04   
 41.4% | 000023040 |    0.0249400  | 3.729e+04| 6.082e+04| 6.062e+04|  1.881e-02 |  6.291e-03 |  1.235e-03 | 1.992e-03 |   7.855e-04  |  5.576e+04  |    8.856e+04   
 42.5% | 000023680 |    0.0235617  |          | 6.713e+04| 5.822e+04|            |            |  2.004e-02 | 2.333e-03 |   7.158e-04  |  5.675e+04  |    8.785e+04   
 43.7% | 000024320 |    0.0246241  | 5.177e+04| 5.878e+04| 6.435e+04|  1.910e-02 |  7.246e-03 |  1.161e-03 | 1.938e-03 |   4.197e-04  |  5.217e+04  |    8.704e+04   
 44.8% | 000024960 |    0.0225361  |          | 6.802e+04| 6.025e+04|            |            |  1.949e-02 | 2.028e-03 |   5.648e-04  |  5.472e+04  |    8.639e+04   
 46.0% | 000025600 |    0.0237111  | 5.072e+04| 5.940e+04| 6.402e+04|  1.851e-02 |  6.089e-03 |  1.159e-03 | 1.812e-03 |   3.472e-04  |  4.989e+04  |    8.562e+04   
 47.1% | 000026240 |    0.0227691  |          | 6.416e+04| 5.982e+04|            |            |  1.983e-02 | 2.074e-03 |   3.691e-04  |  4.979e+04  |    8.491e+04   
 48.3% | 000026880 |    0.0239614  | 5.543e+04| 5.870e+04| 5.910e+04|  1.895e-02 |  7.328e-03 |  1.068e-03 | 1.911e-03 |   1.830e-04  |  4.530e+04  |    8.411e+04   
 49.4% | 000027520 |    0.0217950  |          | 6.300e+04| 5.933e+04|            |            |  1.916e-02 | 1.919e-03 |   2.690e-04  |  4.764e+04  |    8.344e+04   
 50.6% | 000028160 |    0.0230637  | 4.586e+04| 5.795e+04| 6.330e+04|  1.835e-02 |  6.029e-03 |  1.066e-03 | 1.609e-03 |   1.502e-04  |  4.302e+04  |    8.268e+04   
 51.7% | 000028800 |    0.0216594  |          | 6.743e+04| 6.065e+04|            |            |  1.917e-02 | 1.915e-03 |   9.012e-05  |  4.372e+04  |    8.200e+04   
 52.9% | 000029440 |    0.0232873  | 4.813e+04| 6.026e+04| 6.167e+04|  1.868e-02 |  7.211e-03 |  9.857e-04 | 1.747e-03 |   1.901e-05  |  3.878e+04  |    8.121e+04   
 54.0% | 000030080 |    0.0208344  |          | 6.339e+04| 5.966e+04|            |            |  1.862e-02 | 1.735e-03 |   1.848e-05  |  4.128e+04  |    8.056e+04   
 55.2% | 000030720 |    0.0226337  | 4.694e+04| 6.102e+04| 6.365e+04|  1.819e-02 |  5.992e-03 |  9.844e-04 | 1.584e-03 |   1.898e-05  |  3.614e+04  |    7.980e+04   
 56.3% | 000031360 |    0.0208847  |          | 6.260e+04| 5.947e+04|            |            |  1.862e-02 | 1.743e-03 |   1.938e-05  |  3.721e+04  |    7.913e+04   
