Timestamp,GPU
1744594562,1962621811
1744594563,1962621811
1744594564,1962621811
1744594565,1962621811
1744594566,1962621811
1744594567,1962621811
1744594568,1962621811
1744594569,1962621811
1744594570,1962621811
1744594572,1962621811
1744594573,1962621811
1744594574,1962633914
1744594575,1962662555
1744594576,1962691169
1744594577,1962719776
1744594578,1962748639
1744594579,1962777208
1744594580,1962805783
1744594581,1962834306
1744594582,1962861656
1744594584,1962890367
1744594585,1962918994
1744594586,1962947599
1744594587,1962976227
1744594588,1963004854
1744594589,1963033481
1744594590,1963062088
1744594591,1963090714
1744594592,1963119251
1744594593,1963147843
1744594594,1963176434
1744594596,1963204952
1744594597,1963233537
1744594598,1963262067
1744594599,1963290665
1744594600,1963319293
1744594601,1963347881
1744594602,1963376413
1744594603,1963405040
1744594604,1963433668
1744594605,1963462296
1744594607,1963490658
1744594608,1963517507
1744594609,1963546843
1744594610,1963575369
1744594611,1963603940
1744594612,1963632409
1744594613,1963660866
1744594614,1963689331
1744594615,1963717861
1744594616,1963746336
1744594617,1963774771
1744594619,1963803398
1744594620,1963831892
1744594621,1963860506
1744594622,1963889044
1744594623,1963917613
1744594624,1963946341
1744594625,1963975016
1744594626,1964003496
1744594627,1964032092
1744594628,1964060595
1744594629,1964089423
1744594631,1964117916
1744594632,1964145672
1744594633,1964172776
1744594634,1964202360
1744594635,1964230987
1744594636,1964259493
1744594637,1964288082
1744594638,1964316578
1744594639,1964345085
1744594640,1964373557
1744594642,1964402102
1744594643,1964430616
1744594644,1964459121
1744594645,1964487679
1744594646,1964516150
1744594647,1964544620
1744594648,1964573123
1744594649,1964601713
1744594650,1964630295
1744594651,1964658760
1744594652,1964687345
1744594654,1964715946
1744594655,1964744410
1744594656,1964772973
1744594657,1964800476
1744594658,1964827827
1744594659,1964857315
1744594660,1964885876
1744594661,1964914227
1744594662,1964942557
1744594663,1964970914
1744594664,1964999369
1744594666,1965027811
1744594667,1965056290
1744594668,1965084724
1744594669,1965113237
1744594670,1965141570
1744594671,1965170002
1744594672,1965198312
1744594673,1965226511
1744594674,1965254762
1744594675,1965283066
1744594677,1965311213
1744594678,1965339668
1744594679,1965367990
1744594680,1965396237
1744594681,1965424300
1744594682,1965451833
1744594683,1965479217
1744594684,1965507761
1744594685,1965536067
1744594686,1965564247
1744594687,1965592367
1744594689,1965620547
1744594690,1965648697
1744594691,1965676863
1744594692,1965704965
1744594693,1965733086
1744594694,1965761507
1744594695,1965789782
1744594696,1965817897
1744594697,1965845966
1744594698,1965874211
1744594699,1965902220
1744594701,1965930276
1744594702,1965958408
1744594703,1965986612
1744594704,1966014913
1744594705,1966043115
1744594706,1966071087
1744594707,1966097724
1744594708,1966125500
1744594709,1966153612
1744594710,1966181726
1744594712,1966209961
1744594713,1966238018
1744594714,1966266058
1744594715,1966294003
1744594716,1966321955
1744594717,1966349939
1744594718,1966377947
1744594719,1966406004
1744594720,1966434052
1744594721,1966462081
1744594722,1966490112
1744594724,1966518107
1744594725,1966546121
1744594726,1966574138
1744594727,1966602597
1744594728,1966630710
1744594729,1966658612
1744594730,1966686448
1744594731,1966714360
1744594732,1966740935
1744594733,1966768359
1744594735,1966796111
1744594736,1966824058
1744594737,1966852085
1744594738,1966880108
1744594739,1966908135
1744594740,1966936244
1744594741,1966964406
1744594742,1966992529
1744594743,1967020541
1744594744,1967048486
1744594745,1967076534
1744594747,1967104406
1744594748,1967132260
1744594749,1967160415
1744594750,1967188402
1744594751,1967216614
1744594752,1967244554
1744594753,1967272510
1744594754,1967300594
1744594755,1967328445
1744594756,1967356139
1744594757,1967382466
1744594759,1967410100
1744594760,1967437967
1744594761,1967466048
1744594762,1967493912
1744594763,1967521940
1744594764,1967549949
1744594765,1967577908
1744594766,1967605868
1744594767,1967633717
1744594768,1967661737
1744594770,1967689684
1744594771,1967717618
1744594772,1967745586
1744594773,1967762281
1744594774,1967762281
1744594775,1967762281
1744594776,1967762281
1744594777,1967762281
1744594778,1967762281
1744594779,1967762281
1744594780,1967762281
1744594782,1967762281
