     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     25920 kB      1563ms       9.2%    6685.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     30336 kB      1420ms      10.9%    7340.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     35488 kB      1392ms      15.7%    7735.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     41520 kB      1507ms      27.2%    8307.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     48592 kB      1563ms      19.8%    7261.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     56848 kB      1791ms       4.4%    5600.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     66512 kB      1548ms      17.2%    7209.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     77824 kB      1984ms       9.3%    5355.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     91056 kB      1755ms      14.5%    6153.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    106528 kB      1708ms      25.5%    7095.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    124640 kB      1821ms       8.1%    5627.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    145824 kB      1930ms      10.4%    5502.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    170624 kB      1883ms      19.7%    6123.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    199632 kB      1799ms      19.0%    6343.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    233568 kB      1865ms      10.7%    5600.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    273280 kB      2082ms      13.5%    5365.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    319744 kB       559ms      11.6%   19402.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    374096 kB      1246ms      61.5%   16957.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    437696 kB       557ms      10.8%   19725.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    512096 kB       523ms      11.3%   21166.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    599152 kB       529ms       9.7%   20835.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    701024 kB       521ms      10.4%   21146.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    820192 kB      1379ms      80.6%   22984.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    959616 kB       813ms      50.0%   20612.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
   1122768 kB       591ms       9.5%   18692.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
