Timestamp,GPU
1743599784,605374104
1743599785,605374104
1743599786,605374104
1743599787,605374104
1743599789,605374104
1743599790,605374104
1743599791,605374104
1743599792,605374104
1743599793,605374104
1743599794,605374104
1743599795,605374104
1743599796,605403338
1743599797,605484233
1743599798,605564373
1743599800,605644803
1743599801,605724899
1743599802,605805523
1743599803,605885798
1743599804,605965880
1743599805,606045979
1743599806,606126106
1743599807,606205887
1743599808,606286127
1743599809,606366496
1743599810,606446705
1743599812,606522235
1743599813,606594713
1743599814,606674009
1743599815,606753449
1743599816,606832930
1743599817,606912278
1743599818,606990884
1743599819,607069730
1743599820,607149413
1743599821,607229353
1743599822,607309302
1743599824,607389301
1743599825,607469184
1743599826,607548956
1743599827,607628906
1743599828,607698769
1743599829,607777806
1743599830,607857138
1743599831,607936422
1743599832,608016350
1743599833,608096352
1743599834,608176109
1743599836,608256098
1743599837,608336015
1743599838,608415775
1743599839,608495801
1743599840,608575867
1743599841,608656512
1743599842,608736971
1743599843,608816804
1743599844,608886106
1743599845,608965473
1743599847,609044802
1743599848,609124323
1743599849,609203877
1743599850,609283311
1743599851,609361885
1743599852,609440953
1743599853,609519749
1743599854,609598560
1743599855,609677682
1743599856,609757751
1743599857,609837887
1743599859,609917669
1743599860,609988598
1743599861,610067367
1743599862,610146834
1743599863,610226257
1743599864,610306190
1743599865,610385873
1743599866,610465244
1743599867,610544014
1743599868,610623344
1743599869,610702942
1743599871,610783002
1743599872,610863543
1743599873,610943780
1743599874,611023530
1743599875,611103366
1743599876,611172688
1743599877,611252438
1743599878,611332366
1743599879,611412545
1743599880,611492518
1743599881,611572500
1743599883,611652442
1743599884,611732283
1743599885,611812128
1743599886,611892114
1743599887,611971903
1743599888,612051519
1743599889,612131253
1743599890,612210837
1743599891,612280991
1743599892,612359558
1743599894,612438705
1743599895,612517828
1743599896,612597254
1743599897,612677139
1743599898,612757013
1743599899,612836881
1743599900,612916549
1743599901,612996282
1743599902,613076060
1743599903,613155452
1743599904,613234819
1743599906,613314396
1743599907,613393547
1743599908,613463522
1743599909,613542167
1743599910,613620676
1743599911,613699077
1743599912,613777994
1743599913,613856822
1743599914,613935746
1743599915,614014563
1743599916,614093942
1743599918,614173349
1743599919,614252590
1743599920,614332036
1743599921,614411425
1743599922,614490670
1743599923,614569484
1743599924,614637753
1743599925,614716262
1743599926,614794769
1743599927,614873514
1743599929,614952613
1743599930,615031918
1743599931,615111266
1743599932,615190622
1743599933,615269928
1743599934,615349306
1743599935,615428635
1743599936,615507809
1743599937,615586930
1743599938,615666162
1743599939,615736564
1743599941,615813831
1743599942,615892582
1743599943,615971435
1743599944,616050320
1743599945,616129149
1743599946,616207788
1743599947,616286871
1743599948,616365682
1743599949,616444920
1743599950,616524014
1743599951,616603149
1743599953,616681866
1743599954,616760293
1743599955,616838905
1743599956,616907386
1743599957,616985849
1743599958,617064928
1743599959,617143834
1743599960,617223554
1743599961,617303136
1743599962,617382489
1743599964,617461563
1743599965,617540671
1743599966,617619940
1743599967,617699089
1743599968,617777983
1743599969,617856984
1743599970,617935850
1743599971,618014731
1743599972,618083983
1743599973,618162131
1743599974,618239860
1743599976,618318516
1743599977,618397065
1743599978,618475475
1743599979,618554112
1743599980,618632251
1743599981,618710439
1743599982,618788738
1743599983,618866822
1743599984,618945214
1743599985,619023728
1743599986,619101667
1743599988,619176059
1743599989,619246752
1743599990,619325294
1743599991,619404015
1743599992,619482687
1743599993,619561297
1743599994,619639992
1743599995,619718603
1743599996,619797203
1743599997,619875590
1743599999,619953995
1743600000,620032403
1743600001,620111183
1743600002,620190049
1743600003,620268525
1743600004,620337923
1743600005,620416199
1743600006,620494496
1743600007,620572419
1743600008,620650653
1743600009,620728413
1743600011,620805787
1743600012,620884031
1743600013,620962304
1743600014,621040767
1743600015,621119160
1743600016,621197677
1743600017,621276276
1743600018,621354965
1743600019,621433805
1743600020,621503366
1743600021,621581602
1743600023,621660171
1743600024,621738099
1743600025,621815608
1743600026,621893468
1743600027,621971272
1743600028,622049299
1743600029,622127196
1743600030,622205344
1743600031,622282759
1743600032,622360375
1743600033,622437911
1743600035,622516286
1743600036,622594262
1743600037,622661782
1743600038,622739205
1743600039,622816490
1743600040,622894397
1743600041,622972118
1743600042,623049969
1743600043,623127544
1743600044,623205331
1743600046,623283436
1743600047,623361672
1743600048,623440586
1743600049,623519284
1743600050,623598021
1743600051,623676811
1743600052,623741809
1743600053,623742412
1743600054,623743014
1743600055,623743616
1743600056,623743633
1743600058,623743633
1743600059,623743633
1743600060,623743633
1743600061,623743633
1743600062,623743633
