Timestamp,GPU
1743878602,2328109323
1743878604,2328109323
1743878605,2328109323
1743878606,2328109323
1743878607,2328109323
1743878608,2328109323
1743878609,2328109323
1743878610,2328109323
1743878611,2328109323
1743878612,2328109323
1743878613,2328109323
1743878614,2328109324
1743878616,2328109324
1743878617,2328109328
1743878618,2328117113
1743878619,2328127119
1743878620,2328137130
1743878621,2328147183
1743878622,2328157207
1743878623,2328167240
1743878624,2328177267
1743878625,2328187312
1743878627,2328197324
1743878628,2328207331
1743878629,2328217365
1743878630,2328222914
1743878631,2328223052
1743878632,2328223052
1743878633,2328223052
1743878634,2328223052
1743878635,2328223052
1743878636,2328223052
1743878637,2328223052
1743878639,2328223052
