Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 15.5% | 000017280 |    0.0474570  |          | 7.106e+04| 5.772e+04|            |            |  2.582e-02 | 6.462e-03 |   1.474e-02  |  2.404e+05  |    2.498e+05   
 16.1% | 000017920 |    0.0483771  | 5.534e+04| 5.826e+04| 6.334e+04|  2.173e-02 |  6.269e-03 |  3.566e-03 | 6.443e-03 |   1.425e-02  |  2.326e+05  |    2.493e+05   
 16.7% | 000018560 |    0.0457973  |          | 6.704e+04| 5.840e+04|            |            |  2.442e-02 | 6.978e-03 |   1.391e-02  |  2.424e+05  |    2.491e+05   
 17.2% | 000019200 |    0.0466031  | 5.327e+04| 5.826e+04| 6.352e+04|  2.131e-02 |  7.281e-03 |  3.390e-03 | 6.640e-03 |   1.298e-02  |  2.349e+05  |    2.487e+05   
 17.8% | 000019840 |    0.0455628  |          | 7.136e+04| 5.795e+04|            |            |  2.474e-02 | 6.992e-03 |   1.340e-02  |  2.370e+05  |    2.483e+05   
 18.4% | 000020480 |    0.0471554  | 5.594e+04| 5.717e+04| 6.422e+04|  2.177e-02 |  6.285e-03 |  3.450e-03 | 6.209e-03 |   1.341e-02  |  2.258e+05  |    2.477e+05   
 19.0% | 000021120 |    0.0439522  |          | 6.850e+04| 5.793e+04|            |            |  2.399e-02 | 6.662e-03 |   1.284e-02  |  2.388e+05  |    2.475e+05   
 19.5% | 000021760 |    0.0456440  | 5.841e+04| 5.803e+04| 6.267e+04|  2.130e-02 |  7.124e-03 |  3.288e-03 | 6.521e-03 |   1.223e-02  |  2.267e+05  |    2.469e+05   
 20.1% | 000022400 |    0.0433945  |          | 7.001e+04| 5.625e+04|            |            |  2.433e-02 | 5.716e-03 |   1.291e-02  |  2.351e+05  |    2.467e+05   
 20.7% | 000023040 |    0.0459380  | 5.978e+04| 5.891e+04| 6.284e+04|  2.168e-02 |  6.123e-03 |  3.327e-03 | 6.383e-03 |   1.214e-02  |  2.189e+05  |    2.460e+05   
 21.3% | 000023680 |    0.0429477  |          | 7.155e+04| 5.614e+04|            |            |  2.438e-02 | 5.780e-03 |   1.235e-02  |  2.308e+05  |    2.456e+05   
 21.8% | 000024320 |    0.0443354  | 6.067e+04| 5.806e+04| 6.285e+04|  2.123e-02 |  7.137e-03 |  3.247e-03 | 6.426e-03 |   1.113e-02  |  2.203e+05  |    2.451e+05   
 22.4% | 000024960 |    0.0420537  |          | 7.046e+04| 5.422e+04|            |            |  2.409e-02 | 5.118e-03 |   1.240e-02  |  2.289e+05  |    2.447e+05   
 23.0% | 000025600 |    0.0445003  | 5.727e+04| 5.803e+04| 6.371e+04|  2.151e-02 |  6.200e-03 |  3.192e-03 | 5.559e-03 |   1.181e-02  |  2.131e+05  |    2.440e+05   
