Timestamp,GPU
1744611069,2293390533
1744611071,2293390533
1744611072,2293390533
1744611073,2293390533
1744611074,2293390533
1744611075,2293390533
1744611076,2293390533
1744611077,2293390533
1744611078,2293390533
1744611079,2293390533
1744611080,2293390533
1744611081,2293403033
1744611083,2293442623
1744611084,2293482311
1744611085,2293521794
1744611086,2293561591
1744611087,2293600676
1744611088,2293639908
1744611089,2293678931
1744611090,2293718101
1744611091,2293757561
1744611092,2293797221
1744611093,2293836389
1744611095,2293875822
1744611096,2293915378
1744611097,2293952529
1744611098,2293991482
1744611099,2294030997
1744611100,2294070202
1744611101,2294109432
1744611102,2294148696
1744611103,2294188305
1744611104,2294227698
1744611105,2294266729
1744611107,2294306319
1744611108,2294345861
1744611109,2294384796
1744611110,2294423898
1744611111,2294463202
1744611112,2294502384
1744611113,2294542019
1744611114,2294581426
1744611115,2294620925
1744611116,2294660075
1744611118,2294699276
1744611119,2294738863
1744611120,2294777986
1744611121,2294817418
1744611122,2294854390
1744611123,2294893312
1744611124,2294932594
1744611125,2294971970
1744611126,2295011334
1744611127,2295050845
1744611128,2295090390
1744611130,2295129697
1744611131,2295168900
1744611132,2295207914
1744611133,2295246862
1744611134,2295286145
1744611135,2295325599
1744611136,2295364504
1744611137,2295403365
1744611138,2295442372
1744611139,2295481892
1744611140,2295520810
1744611142,2295560178
1744611143,2295599182
1744611144,2295638957
1744611145,2295678168
1744611146,2295717041
1744611147,2295753562
1744611148,2295792747
1744611149,2295831673
1744611150,2295870545
1744611151,2295909793
1744611153,2295948679
1744611154,2295988131
1744611155,2296027373
1744611156,2296066602
1744611157,2296105732
1744611158,2296145022
1744611159,2296184568
1744611160,2296224112
1744611161,2296263644
1744611162,2296303017
1744611163,2296342127
1744611165,2296381241
1744611166,2296420020
1744611167,2296458955
1744611168,2296497977
1744611169,2296537158
1744611170,2296576067
1744611171,2296615014
1744611172,2296651867
1744611173,2296690903
1744611174,2296729882
1744611175,2296769225
1744611177,2296808186
1744611178,2296847240
1744611179,2296886438
1744611180,2296925704
1744611181,2296964562
1744611182,2297003434
1744611183,2297042656
1744611184,2297081654
1744611185,2297121008
1744611186,2297160158
1744611188,2297199157
1744611189,2297238376
1744611190,2297277655
1744611191,2297316717
1744611192,2297355638
1744611193,2297394926
1744611194,2297434442
1744611195,2297474103
1744611196,2297512935
1744611197,2297550047
1744611198,2297589470
1744611200,2297628514
1744611201,2297667705
1744611202,2297706640
1744611203,2297745566
1744611204,2297784746
1744611205,2297823685
1744611206,2297862750
1744611207,2297901838
1744611208,2297940769
1744611209,2297979504
1744611210,2298018829
1744611212,2298058159
1744611213,2298097360
1744611214,2298136405
1744611215,2298175453
1744611216,2298214628
1744611217,2298253703
1744611218,2298293138
1744611219,2298332362
1744611220,2298371616
1744611221,2298409874
1744611222,2298446686
1744611224,2298485686
1744611225,2298524892
1744611226,2298564082
1744611227,2298602996
1744611228,2298642342
1744611229,2298681330
1744611230,2298720560
1744611231,2298759534
1744611232,2298798749
1744611233,2298837772
1744611235,2298876978
1744611236,2298916109
1744611237,2298955165
1744611238,2298994907
1744611239,2299034050
1744611240,2299073202
1744611241,2299112151
1744611242,2299151152
1744611243,2299190749
1744611244,2299229823
1744611245,2299268397
1744611247,2299306594
1744611248,2299343888
1744611249,2299382841
1744611250,2299422286
1744611251,2299461641
1744611252,2299500580
1744611253,2299539612
1744611254,2299578326
1744611255,2299617335
1744611256,2299656378
1744611257,2299695419
1744611259,2299734478
1744611260,2299773576
1744611261,2299813119
1744611262,2299852076
1744611263,2299891422
1744611264,2299930469
1744611265,2299969857
1744611266,2300009603
1744611267,2300048800
1744611268,2300087680
1744611270,2300126757
1744611271,2300165833
1744611272,2300203857
1744611273,2300241735
1744611274,2300280856
1744611275,2300320034
1744611276,2300359236
1744611277,2300398147
1744611278,2300437205
1744611279,2300476162
1744611280,2300515198
1744611282,2300554205
1744611283,2300593345
1744611284,2300632485
1744611285,2300671610
1744611286,2300710917
1744611287,2300749973
1744611288,2300789385
1744611289,2300828010
1744611290,2300867394
1744611291,2300906525
1744611293,2300946350
1744611294,2300985429
1744611295,2301024432
1744611296,2301063315
1744611297,2301101529
1744611298,2301139175
1744611299,2301178339
1744611300,2301217467
1744611301,2301256890
1744611302,2301296227
1744611303,2301335237
1744611305,2301374464
1744611306,2301413819
1744611307,2301452988
1744611308,2301491976
1744611309,2301531012
1744611310,2301570411
1744611311,2301609933
1744611312,2301648824
1744611313,2301688065
1744611314,2301727133
1744611315,2301766077
1744611317,2301805091
1744611318,2301844459
1744611319,2301883835
1744611320,2301923006
1744611321,2301962321
1744611322,2302000234
1744611323,2302038022
1744611324,2302077174
1744611325,2302115985
1744611326,2302155162
1744611328,2302194772
1744611329,2302234116
1744611330,2302273083
1744611331,2302312312
1744611332,2302351281
1744611333,2302389956
1744611334,2302429405
1744611335,2302468268
1744611336,2302507398
1744611337,2302546346
1744611338,2302586024
1744611340,2302624847
1744611341,2302664093
1744611342,2302703285
1744611343,2302742719
1744611344,2302782025
1744611345,2302821434
1744611346,2302860600
1744611347,2302898481
1744611348,2302936909
1744611349,2302975687
1744611351,2303014719
1744611352,2303054251
1744611353,2303093154
1744611354,2303132162
1744611355,2303171377
1744611356,2303210705
1744611357,2303249649
1744611358,2303288867
1744611359,2303327893
1744611360,2303366695
1744611361,2303405737
1744611363,2303445034
1744611364,2303484034
1744611365,2303523244
1744611366,2303562055
1744611367,2303601231
1744611368,2303640534
1744611369,2303679691
1744611370,2303719104
1744611371,2303758250
1744611372,2303795750
1744611373,2303834374
1744611375,2303873294
1744611376,2303912511
1744611377,2303951581
1744611378,2303990605
1744611379,2304029870
1744611380,2304063448
1744611381,2304063641
1744611382,2304063641
1744611383,2304063641
1744611384,2304063641
1744611386,2304063641
1744611387,2304063641
1744611388,2304063641
1744611389,2304063641
1744611390,2304063641
