Timestamp,GPU
1744619320,2382160598
1744619321,2382160598
1744619322,2382160598
1744619323,2382160598
1744619324,2382160598
1744619326,2382160598
1744619327,2382160598
1744619328,2382160598
1744619329,2382160598
1744619330,2382160598
1744619331,2382160598
1744619332,2382160600
1744619333,2382160604
1744619334,2382160607
1744619335,2382160610
1744619336,2382160613
1744619338,2382160617
1744619339,2382160620
1744619340,2382160623
1744619341,2382160626
1744619342,2382160629
1744619343,2382160633
1744619344,2382160636
1744619345,2382160639
1744619346,2382160642
1744619347,2382160645
1744619348,2382160649
1744619350,2382160652
1744619351,2382160655
1744619352,2382160658
1744619353,2382160661
1744619354,2382160665
1744619355,2382160668
1744619356,2382160671
1744619357,2382160674
1744619358,2382160677
1744619359,2382160681
1744619361,2382160684
1744619362,2382160687
1744619363,2382160690
1744619364,2382160693
1744619365,2382160697
1744619366,2382160700
1744619367,2382160703
1744619368,2382160706
1744619369,2382160709
1744619370,2382160713
1744619371,2382160716
1744619373,2382160719
1744619374,2382160722
1744619375,2382160725
1744619376,2382160729
1744619377,2382160732
1744619378,2382160735
1744619379,2382160738
1744619380,2382160741
1744619381,2382160745
1744619382,2382160748
1744619383,2382160751
1744619385,2382160754
1744619386,2382160757
1744619387,2382160761
1744619388,2382160764
1744619389,2382160767
1744619390,2382160770
1744619391,2382160773
1744619392,2382160777
1744619393,2382160780
1744619394,2382160783
1744619395,2382160786
1744619397,2382160789
1744619398,2382160792
1744619399,2382160796
1744619400,2382160799
1744619401,2382160802
1744619402,2382160805
1744619403,2382160809
1744619404,2382160812
1744619405,2382160815
1744619406,2382160818
1744619408,2382160821
1744619409,2382160825
1744619410,2382160828
1744619411,2382160831
1744619412,2382160834
1744619413,2382160837
1744619414,2382160841
1744619415,2382160844
1744619416,2382160847
1744619417,2382160850
1744619418,2382160853
1744619420,2382160857
1744619421,2382160860
1744619422,2382160863
1744619423,2382160866
1744619424,2382160869
1744619425,2382160873
1744619426,2382160876
1744619427,2382160879
1744619428,2382160883
1744619429,2382160883
1744619430,2382160883
1744619432,2382160883
1744619433,2382160883
1744619434,2382160883
1744619435,2382160883
1744619436,2382160883
1744619437,2382160883
