Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743987055,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987056,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987057,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987058,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987060,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987061,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987062,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987063,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987064,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987065,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987066,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987068,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987069,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987070,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987071,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987072,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987073,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987074,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987076,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987077,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987078,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987079,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987080,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987081,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987083,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987084,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987085,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987086,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987087,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987088,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987089,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987091,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987092,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987093,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987094,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987095,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987096,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987097,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987099,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
1743987100,3373080961,913813511,914112989,913026333,913683711,913438184,913081280,912968287
