Timestamp,GPU
1744931472,3344753231
1744931473,3344753231
1744931474,3344753231
1744931475,3344753231
1744931476,3344753231
1744931477,3344753231
1744931478,3344753231
1744931479,3344753231
1744931481,3344753231
1744931482,3344753231
1744931483,3344753231
1744931484,3344753231
1744931485,3344753231
1744931486,3344753231
1744931487,3344753231
1744931488,3344753231
1744931489,3344753231
1744931491,3344753231
1744931492,3344753231
1744931493,3344801746
1744931494,3344899351
1744931495,3344997045
1744931496,3345094799
1744931497,3345193245
1744931498,3345291298
1744931499,3345389031
1744931501,3345486869
1744931502,3345584757
1744931503,3345683198
1744931504,3345781355
1744931505,3345879830
1744931506,3345978200
1744931507,3346076547
1744931508,3346175214
1744931510,3346273847
1744931511,3346372374
1744931512,3346470997
1744931513,3346569724
1744931514,3346668364
1744931515,3346766811
1744931516,3346865338
1744931517,3346963727
1744931518,3347062246
1744931520,3347160634
1744931521,3347259076
1744931522,3347357582
1744931523,3347396347
1744931524,3347396347
1744931525,3347396347
1744931526,3347396347
1744931527,3347396347
1744931528,3347396347
1744931530,3347396347
1744931531,3347396347
1744931532,3347396347
