Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1744246030,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246032,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246033,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246034,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246035,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246036,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246037,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246038,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246040,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246041,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246042,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246043,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246044,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246045,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246047,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246048,333298397,332063839,332755870,330553375,332752874,332722861,331443364,330904806
1744246049,333301427,332066884,332758920,330556433,332755941,332725937,331446444,330907896
1744246050,333302578,332068037,332760085,330557609,332757131,332727122,331447633,330909086
1744246051,333319168,332084588,332775970,330574041,332773774,332743675,331463431,330925654
1744246052,333347273,332112730,332803970,330602261,332802100,332771976,331491623,330954045
1744246053,333384510,332149965,332841213,330639496,332839345,332809212,331528868,330991265
1744246055,333422104,332187557,332878802,330677083,332876935,332846801,331566467,331028877
1744246056,333459997,332225445,332916689,330714959,332914820,332884697,331604335,331066747
1744246057,333498078,332263523,332954747,330753011,332952878,332922751,331642413,331104822
1744246058,333515944,332281255,332972570,330770816,332970452,332940457,331660101,331122531
1744246059,333539613,332304900,332996397,330794685,332994378,332964263,331684043,331146443
1744246060,333576955,332342208,333033703,330832006,333031683,333001575,331721353,331183753
1744246061,333614618,332379870,333071359,330869672,333069363,333039319,331759075,331221473
1744246063,333652457,332417752,333109241,330907547,333107246,333077129,331796907,331259297
1744246064,333690233,332455500,333146991,330945304,333145002,333114892,331834667,331297063
1744246065,333712500,332477698,333169144,330967462,333167159,333137013,331856776,331319024
1744246066,333732429,332497669,333189139,330987494,333187207,333157040,331876827,331338812
1744246067,333769784,332535022,333226488,331024833,333224537,333194373,331914164,331376144
1744246068,333807439,332572678,333264145,331062499,333262214,333232045,331951802,331413761
1744246070,333845147,332610383,333301849,331100205,333299919,333269750,331989540,331451501
1744246071,333882985,332648219,333339684,331138043,333337757,333307591,332027381,331489323
1744246072,333910794,332675962,333367385,331165720,333365455,333335190,332054948,331516845
1744246073,333927448,332692571,333383972,331182340,333382152,333351789,332071534,331533460
1744246074,333961848,332727016,333418435,331216834,333416695,333386368,332106145,331568115
1744246075,333999136,332764301,333455719,331254115,333453968,333423641,332143417,331605390
1744246076,334036388,332801553,333492980,331291368,333491207,333460887,332180667,331642637
1744246078,334074204,332839366,333530763,331329165,333529021,333498703,332218506,331680452
1744246079,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246080,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246081,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246082,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246083,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246084,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246086,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246087,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246088,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246089,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246090,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246091,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
1744246093,334104867,332869955,333561286,331359673,333559477,333529085,332248783,331710692
