     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       251ms       0.1%   38749.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB       249ms       0.5%   39075.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB       251ms       0.5%   38879.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB       247ms       0.1%   39382.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB       249ms       0.3%   39154.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       258ms       0.9%   37894.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       306ms       7.4%   33596.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       325ms      10.4%   32906.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       361ms       8.4%   28954.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       377ms       8.1%   27735.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       376ms       9.4%   28207.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB       380ms      11.4%   28343.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB       380ms       9.8%   27794.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB       375ms      11.9%   28993.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB       374ms      10.9%   28716.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB       372ms      10.2%   28670.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       224 kB       372ms      11.3%   28908.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       240 kB       370ms      10.7%   28898.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       256 kB       371ms      11.7%   29118.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       272 kB       373ms       8.2%   28126.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       288 kB       376ms       7.9%   27735.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       304 kB       380ms       8.8%   27832.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       320 kB       379ms       7.4%   27455.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       336 kB       377ms       6.5%   27376.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       352 kB       375ms       9.3%   28260.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       368 kB       374ms       8.8%   28248.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       384 kB       374ms       9.0%   28268.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       400 kB       378ms       9.3%   28043.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       416 kB       379ms      10.4%   28160.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       432 kB       378ms      10.0%   28166.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       448 kB       378ms       9.9%   28144.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       464 kB       378ms       9.6%   28121.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       480 kB       374ms       8.0%   27955.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       496 kB       375ms       8.9%   28112.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       512 kB       377ms       9.6%   28131.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       592 kB       376ms       8.9%   28103.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       688 kB       379ms       9.2%   27954.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       816 kB       387ms      12.5%   27546.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       944 kB       392ms      11.4%   27342.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1120 kB       395ms      10.5%   27096.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1312 kB       389ms      10.3%   27614.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1536 kB       387ms      11.7%   27987.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1792 kB       389ms       9.9%   27396.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      2096 kB       398ms      10.2%   26894.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      2448 kB       388ms       9.7%   27468.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      2864 kB       393ms      10.5%   27275.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      3360 kB       391ms      10.5%   27465.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      3936 kB       398ms      11.7%   27020.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      4608 kB       415ms       7.8%   25022.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      6304 kB       466ms      10.7%   23111.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      7376 kB       520ms      13.2%   20878.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      8640 kB       660ms      21.9%   17358.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     10096 kB       672ms      33.7%   18872.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     11824 kB       924ms      18.2%   12372.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     13824 kB      1122ms       3.6%    8807.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     16176 kB      1124ms      29.4%   11121.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     18928 kB       567ms      24.9%   19919.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22160 kB      1264ms      22.8%    9513.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     25920 kB      1555ms      18.3%    7478.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     30336 kB      1433ms      16.2%    7483.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     35488 kB      1386ms      27.5%    8946.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     41520 kB      1536ms      11.4%    6890.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     48592 kB      1693ms      16.2%    6597.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     56848 kB      1838ms       6.1%    5525.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     66512 kB      1548ms      22.7%    7702.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     77824 kB      1982ms       9.5%    5352.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     91056 kB      1695ms      13.6%    6166.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    106528 kB      1759ms      18.1%    6195.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    124640 kB      1890ms       8.1%    5431.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    145824 kB      1940ms      12.3%    5597.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    170624 kB      1918ms      11.2%    5504.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    199632 kB      1847ms      13.1%    5782.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    233568 kB      1781ms      27.1%    6768.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    273280 kB      2097ms      11.8%    5251.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    319744 kB       551ms       9.0%   19493.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    374096 kB      1275ms      40.8%   11700.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    437696 kB       549ms      10.5%   20011.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    512096 kB       516ms       9.3%   21140.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    599152 kB       525ms       7.3%   20590.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    701024 kB       515ms       9.7%   21400.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    820192 kB      1381ms      78.1%   22845.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    959616 kB       827ms      60.8%   21956.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
   1122768 kB       582ms       7.4%   18670.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
